preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it is high in vitamins and minerals (such as vitamin c and k),cabbage,22,1,1,k )
it is sweet,cake,22,10,10,is sweet
it is baked,cake,22,10,10,is baked
it has layers,cake,22,10,10,has layers
it has frosting or icing,cake,22,5,5,has frosting or icing
it is made of flour,cake,22,5,4,is made from flour
it is soft,cake,22,10,10,is soft
it is moist,cake,22,5,5,is moist
it is served at celebrations,cake,22,3,3,is served at celebrations
it comes in various flavors,cake,22,9,8,comes in various flavors
it has sugar,cake,22,2,2,has sugar
it has eggs,cake,22,2,2,has eggs
it can be decorated,cake,22,9,7,is decorated
it has a wick,candle,22,10,10,has a wick
it is made of wax,candle,22,10,10,is made of wax
it produces light,candle,22,7,6,produces light
it produces heat,candle,22,9,8,produces heat
it burns,candle,22,6,6,burns
it melts when heated,candle,22,10,10,melts
it can be scented,candle,22,10,10,is scented
it can be various colors,candle,22,7,2,is various colors
it can be different shapes and sizes,candle,22,1,1,is different shapes and sizes
it is used for decoration,candle,22,10,9,is used for decoration
it is used for religious ceremonies,candle,22,1,1,is used for religious ceremonies
it is used for celebrations like birthdays,candle,22,1,1,is used for celebrations like birthdays
it is a large gun,cannon,22,1,1,is a large gun
it is a large gun,cannon,22,2,1,is a gun
it is a large gun,cannon,22,10,4,is large
it fires heavy projectiles,cannon,22,1,1,fires heavy projectiles
it has a long barrel,cannon,22,7,4,has a long barrel
it is used in warfare,cannon,22,10,10,is used in warfare
it is made of metal,cannon,22,10,10,is made of metal
it uses gunpowder,cannon,22,9,9,uses gunpowder
it is heavy,cannon,22,10,10,is heavy
it has a high range,cannon,22,1,1,has a high range
it has a mount or carriage,cannon,22,2,1,has a mount
it has a mount or carriage,cannon,22,7,2,has a carriage
it was used historically in battles,cannon,22,1,1,is used historically in battles
it requires a crew to operate,cannon,22,2,2,requires a crew to operate
it has humps,camel,22,6,6,has humps
it is a mammal,camel,22,10,10,is a mammal
it lives in deserts,camel,22,6,5,lives in deserts
it is herbivorous,camel,22,10,9,is herbivorous
it stores fat in its humps,camel,22,5,5,stores fat in its humps
it has long legs,camel,22,10,10,has long legs
it has a long neck,camel,22,10,10,has a long neck
it is adapted to arid environments,camel,22,1,1,is adapted to arid environments
it can go without water for long periods,camel,22,4,4,goes without water for long periods
it has thick eyelashes to protect against sandstorms,camel,22,1,1,has thick eyelashes to protect against sandstorms
it has wheels,car,22,10,8,has wheels
it is a mode of transportation,car,22,10,6,is a mode of transportation
it runs on fuel,car,22,9,8,runs on fuel
it has an engine,car,22,10,8,has an engine
it has seats,car,22,10,9,has a seat
it has a steering wheel,car,22,10,10,has a steering wheel
it can carry passengers,car,22,10,1,carries passengers
it has doors,car,22,10,9,has a door
it has windows,car,22,10,8,has windows
it has headlights and taillights,car,22,9,9,has headlights
it has headlights and taillights,car,22,9,6,has taillights
it has a transmission system,car,22,6,5,has a transmission system
it has a suspension system,car,22,2,1,has a suspension system
it has brakes,car,22,9,6,has brakes
it is a small boat,canoe,22,10,3,is small
it is a small boat,canoe,22,2,2,is a small boat
it is a small boat,canoe,22,9,5,is a boat
it is lightweight,canoe,22,10,10,is lightweight
it is narrow,canoe,22,9,6,is narrow
it is pointed at both ends,canoe,22,1,1,is pointed at both ends
it is open on top,canoe,22,1,1,is open on top
it is propelled by paddles,canoe,22,5,5,is propelled by paddles
it is used for recreational activities,canoe,22,7,3,is used for recreational activities
it can carry people and cargo,canoe,22,9,3,carries people and cargo
it is made of various materials (wood,canoe,22,10,1,is made of various materials
it is orange,carrot,22,10,10,is orange
it is a vegetable,carrot,22,10,6,is a vegetable
it is a root vegetable,carrot,22,10,10,is a root vegetable
it is crunchy,carrot,22,10,10,is crunchy
it is healthy,carrot,22,6,4,is healthy
it is high in vitamin a,carrot,22,5,5,is high in vitamin a
it grows underground,carrot,22,10,8,grows underground
it has green leaves on top,carrot,22,3,2,has green leaves on top
it can be eaten raw or cooked,carrot,22,10,6,is eaten raw or cooked
it has a sweet taste,carrot,22,9,4,has a sweet taste
it is long and narrow in shape,carrot,22,1,1,is long and narrow in shape
it has wheels,cart,22,10,10,has wheels
it is used for transportation,cart,22,10,10,is used for transportation
it is pulled by animals or people,cart,22,1,1,is pulled by people
it is pulled by animals or people,cart,22,6,6,is pulled by animals
it is used for carrying goods,cart,22,5,5,is used to carry goods
it has a flatbed or open container,cart,22,1,1,has a flatbed or open container
it is made of wood or metal,cart,22,10,7,is made of metal
it is made of wood or metal,cart,22,10,9,is made of wood
it is not motorized,cart,22,3,3,is not motorized
it is a simple vehicle,cart,22,10,5,is a vehicle
it is a simple vehicle,cart,22,3,3,is a simple vehicle
it is a simple vehicle,cart,22,6,3,is simple
it has a handle or hitch for pulling,cart,22,1,1,has a handle or hitch for pulling
it has fur,cat,22,10,10,has fur
it is a mammal,cat,22,10,9,is a mammal
it has whiskers,cat,22,10,10,has whiskers
it has claws,cat,22,10,6,has claws
it is a domestic animal,cat,22,3,2,is domestic
it is a domestic animal,cat,22,2,1,is a domestic animal
it is a domestic animal,cat,22,10,5,is an animal
it is a carnivore,cat,22,10,7,is a carnivore
it has four legs,cat,22,10,8,has four legs
it has a tail,cat,22,10,10,has a tail
it purrs when content,cat,22,8,8,purrs
it is nocturnal,cat,22,10,1,is nocturnal
it has good night vision,cat,22,4,4,has good night vision
it is agile and flexible,cat,22,10,3,is flexible
it is agile and flexible,cat,22,10,9,is agile
it can climb trees,cat,22,10,6,climbs trees
it is a vegetable,cauliflower,22,10,10,is a vegetable
it has a white head,cauliflower,22,1,1,has a white head
it is part of the brassica family,cauliflower,22,3,3,is part of the brassica family
it has green leaves,cauliflower,22,9,3,has green leaves
it is high in vitamins and minerals,cauliflower,22,8,2,is high in vitamins
it is high in vitamins and minerals,cauliflower,22,10,3,is minerals
it has a crunchy texture,cauliflower,22,7,1,has a crunchy texture
it can be eaten raw or cooked,cauliflower,22,10,4,is eaten raw or cooked
it is low in calories,cauliflower,22,10,6,is low in calories
it grows in cool climates,cauliflower,22,5,1,grows in cool climates
it is used in various cuisines,cauliflower,22,6,1,is used in various cuisines
it has many legs,caterpillar,22,4,4,has many legs
it is a larval stage of insects,caterpillar,22,1,1,is a larval stage of insects
it is soft-bodied,caterpillar,22,8,5,is soft - bodied
it is segmented,caterpillar,22,3,2,is segmented
it eats plants,caterpillar,22,7,4,eats plants
it can be colorful,caterpillar,22,10,7,is colorful
it can have hairs or bristles,caterpillar,22,2,2,has hair
it can have hairs or bristles,caterpillar,22,10,1,has bristles
it metamorphoses into a butterfly or moth,caterpillar,22,1,1,metamorphoses into a moth
it metamorphoses into a butterfly or moth,caterpillar,22,1,1,metamorphoses into a butterfly
it moves by crawling,caterpillar,22,4,4,moves by crawling
it can be found in various habitats,caterpillar,22,8,1,is found in various habitats
it is made of metal,chain,22,10,10,is made of metal
it has interlocking links,chain,22,3,3,has interlocking links
it is strong,chain,22,10,10,is strong
it is durable,chain,22,10,7,is durable
it is used for tethering and securing objects,chain,22,1,1,is used to tether and securing objects
it can be used as a tool,chain,22,9,3,is used as a tool
it can bear weight,chain,22,2,2,bears weight
it is flexible,chain,22,10,8,is flexible
it can be used in machinery,chain,22,5,5,is used in machinery
it can be used for security purposes,chain,22,3,1,is used for security purposes
it can be used in lifting equipment,chain,22,1,1,is used in lifting equipment
it is made from milk,cheese,22,10,10,is made from milk
it comes in various textures,cheese,22,5,5,comes in various textures
it has a wide range of flavors,cheese,22,2,2,has a wide range of flavors
it is high in protein,cheese,22,6,2,is high in protein
it is high in calcium,cheese,22,3,3,is high in calcium
it comes in various shapes,cheese,22,4,1,comes in various shapes
it can be aged,cheese,22,9,9,is aged
it can be made from different types of milk (cow,cheese,22,1,1,is made from different types of milk
it can be melted,cheese,22,5,5,is melted
it is a mammal,cheetah,22,10,8,is a mammal
it is a carnivore,cheetah,22,10,9,is a carnivore
it has spots,cheetah,22,10,9,has spots
it is the fastest land animal,cheetah,22,3,3,is the fastest land animal
it lives in africa,cheetah,22,10,8,lives in africa
it has a slender body,cheetah,22,9,7,has a slender body
it has long legs,cheetah,22,10,3,has long legs
it is a member of the cat family,cheetah,22,2,2,is a member of the cat family
it has non-retractable claws,cheetah,22,3,3,has non - retractable claws
it has a long tail for balance,cheetah,22,1,1,has a long tail for balance
it hunts during the day,cheetah,22,3,2,hunts during the day
it is a stringed instrument,cello,22,8,8,is a stringed instrument
it is played with a bow,cello,22,10,10,is played with a bow
it has four strings,cello,22,9,9,has four strings
it is part of the violin family,cello,22,7,7,is part of the violin family
it is larger than a violin,cello,22,1,1,is larger than a violin
it has an endpin for support,cello,22,8,8,has an endpin for support
it produces deep and rich tones,cello,22,6,6,produces deep and rich tones
it is made of wood,cello,22,10,10,is made of wood
it has f-holes on the body,cello,22,1,1,has f - holes on the body
it is green,celery,22,10,10,is green
it is crunchy,celery,22,10,10,is crunchy
it has long stalks,celery,22,9,8,has long stalks
it is a vegetable,celery,22,10,10,is a vegetable
it grows in the ground,celery,22,8,2,grows in the ground
it is low in calories,celery,22,10,10,is low in calories
it has high water content,celery,22,4,3,has high water content
it is fibrous,celery,22,7,6,is fibrous
it has a mild taste,celery,22,10,1,has a mild taste
it can be eaten raw or cooked,celery,22,10,8,is eaten raw or cooked
it is used in salads and soups,celery,22,6,5,is used in soups
it is used in salads and soups,celery,22,10,6,is used in salads
it has legs,chair,22,10,9,has legs
it is used for sitting,chair,22,10,10,is used to sit
it supports weight,chair,22,2,2,supports weight
it has a backrest,chair,22,10,10,has a backrest
it is made of wood,chair,22,10,7,is made of wood
it is made of plastic,chair,22,10,5,is made of plastic
it is made of metal,chair,22,10,5,is made of metal
it has a seat,chair,22,10,3,has a seat
it can be upholstered,chair,22,5,5,is upholstered
it can be stackable,chair,22,9,1,is stackable
it can have armrests,chair,22,6,6,has armrests
it comes in various styles and designs,chair,22,10,4,comes in various styles and designs
it is small,cherry,22,10,9,is small
it is round,cherry,22,10,10,is round
it is a fruit,cherry,22,10,9,is a fruit
it has a pit,cherry,22,10,8,has a pit
it grows on trees,cherry,22,10,10,grows on trees
it is red or dark red when ripe,cherry,22,4,4,is red or dark red
it has a stem,cherry,22,10,7,has a stem
it is sweet or tart in taste,cherry,22,5,2,is sweet or tart in taste
it can be used in cooking and baking,cherry,22,5,2,is used in cooking and baking
it contains vitamins and minerals,cherry,22,8,3,contains minerals
it contains vitamins and minerals,cherry,22,8,4,contains vitamins
it belongs to the genus prunus,cherry,22,1,1,belongs to the genus prunus
it is a light fixture,chandelier,22,3,3,is a fixture
it is a light fixture,chandelier,22,3,3,is a light fixture
it is a light fixture,chandelier,22,4,3,is light
it hangs from the ceiling,chandelier,22,9,9,hangs from the ceiling
it has multiple light sources,chandelier,22,2,2,has multiple light sources
it is decorative,chandelier,22,10,9,is decorative
it is used for illumination,chandelier,22,9,4,is used for illumination
it can be made of crystal,chandelier,22,5,5,is made of crystal
it can be made of glass,chandelier,22,10,6,is made of glass
it can be made of metal,chandelier,22,10,4,is made of metal
it has a chain or cord for suspension,chandelier,22,1,1,has a chain or cord for suspension
it is found in grand rooms or entryways,chandelier,22,3,3,is found in grand rooms
it is found in grand rooms or entryways,chandelier,22,2,2,is found in grand entryways
it is a mammal,chipmunk,22,10,8,is a mammal
it is small,chipmunk,22,10,9,is small
it has fur,chipmunk,22,10,9,has fur
it has stripes,chipmunk,22,10,8,has stripes
it belongs to the squirrel family,chipmunk,22,2,2,belongs to the squirrel family
